127.0.0.1 - - [23/Nov/2015:09:20:05 -0500] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:43 -0500] "GET /PROYECTO_LP2/images/portfolio-3.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:43 -0500] "GET /PROYECTO_LP2/images/portfolio-12.jpg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:43 -0500] "GET /PROYECTO_LP2/images/portfolio-1.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:43 -0500] "GET /PROYECTO_LP2/images/portfolio-13.jpg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:43 -0500] "GET /PROYECTO_LP2/images/portfolio-2.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:43 -0500] "GET /PROYECTO_LP2/images/portfolio-4.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:43 -0500] "GET /PROYECTO_LP2/images/portfolio-5.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:43 -0500] "GET /PROYECTO_LP2/images/portfolio-6.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:43 -0500] "GET /PROYECTO_LP2/images/portfolio-10.jpg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:43 -0500] "GET /PROYECTO_LP2/images/portfolio-9.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:43 -0500] "GET /PROYECTO_LP2/images/portfolio-11.jpg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:43 -0500] "GET /PROYECTO_LP2/images/portfolio-7.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:43 -0500] "GET /PROYECTO_LP2/images/portfolio-8.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:45 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron-3000.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:45 -0500] "GET /PROYECTO_LP2/images/portfolio-siguiente.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:46 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron-3010.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:54 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron-3500.jpg HTTP/1.1" 200 38180
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:57 -0500] "GET /PROYECTO_LP2/images/dell1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:58 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron-5521.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:58 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron-E410.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:21:06 -0500] "GET /PROYECTO_LP2/images/Dell-AndyBrocoli.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:21:09 -0500] "GET /PROYECTO_LP2/images/Dell-Latitude-520.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:21:10 -0500] "GET /PROYECTO_LP2/images/Dell-Ultrabook.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:21:13 -0500] "GET /PROYECTO_LP2/images/Dell-Ultrabook-XPS.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:21:15 -0500] "GET /PROYECTO_LP2/images/Dell-Vostro-3460.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:21:23 -0500] "GET /PROYECTO_LP2/frmLoginCliente.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:21:23 -0500] "GET /PROYECTO_LP2/Boostrap/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:21:23 -0500] "GET /PROYECTO_LP2/Boostrap/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:21:44 -0500] "GET /PROYECTO_LP2/frmLoginCliente.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:21:44 -0500] "GET /PROYECTO_LP2/Boostrap/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:21:44 -0500] "GET /PROYECTO_LP2/Boostrap/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:22:33 -0500] "GET /PROYECTO_LP2/frmLoginCliente.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:22:33 -0500] "GET /PROYECTO_LP2/Boostrap/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:22:33 -0500] "GET /PROYECTO_LP2/Boostrap/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:22:39 -0500] "GET /PROYECTO_LP2/frmLoginCliente.jsp?txtUsuario=hruiz&txtPassword=123&btnIngresar= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:22:39 -0500] "GET /PROYECTO_LP2/frmBienvenidaCliente.jsp HTTP/1.1" 200 8029
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:22:43 -0500] "GET /PROYECTO_LP2/frmLoginCliente.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:23:10 -0500] "GET /PROYECTO_LP2/frmLoginCliente.jsp?txtUsuario=&txtPassword=&btnRegistro= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:23:11 -0500] "GET /PROYECTO_LP2/frmRegistroCliente.jsp HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:23:27 -0500] "GET /PROYECTO_LP2/frmRegistroCliente.jsp?txtNombre=&txtApellido=&txtDireccion=&txtTelefono=&txtUsuario=&Password=&txtDNI=&btnGuardar=Guardar HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:23:30 -0500] "GET /PROYECTO_LP2/frmRegistroCliente.jsp?txtNombre=&txtApellido=&txtDireccion=&txtTelefono=&txtUsuario=&Password=&txtDNI=&btnGuardar=Guardar HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:23:41 -0500] "GET /PROYECTO_LP2/frmRegistroCliente.jsp?txtNombre=&txtApellido=&txtDireccion=&txtTelefono=&txtUsuario=&Password=&txtDNI=&btnCancelar=Cancelar HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:23:42 -0500] "GET /PROYECTO_LP2/frmRegistroCliente.jsp?txtNombre=&txtApellido=&txtDireccion=&txtTelefono=&txtUsuario=&Password=&txtDNI=&btnCancelar=Cancelar HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:23:54 -0500] "GET /PROYECTO_LP2/frmListaEquipoxMarca.jsp HTTP/1.1" 200 4373
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:23:54 -0500] "GET /PROYECTO_LP2/images/image8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:23:57 -0500] "GET /PROYECTO_LP2/frmListaEquipoxMarca.jsp?idMarca=3 HTTP/1.1" 200 7783
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:23:57 -0500] "GET /PROYECTO_LP2/images/Dell%20Inspiron%205200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:23:57 -0500] "GET /PROYECTO_LP2/images/Dell%20Inspiron%206020.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/frmListaEquipoxMarca.jsp?idMarca=3 HTTP/1.1" 200 7798
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/js/jquery-1.7.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/css/jquery.fancybox-1.3.4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/css/tabs.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/css/skin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/js/jquery.fancybox-1.3.4.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/js/tabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/js/jquery.jcarousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/images/image8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/images/Dell%20Inspiron%203010.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/images/Dell%20Inspiron%203500.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/images/Dell%20Inspiron%205200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/images/Dell%20Inspiron%203080.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/images/Dell%20Inspiron%206020.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:01 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron%203000.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:06 -0500] "GET /PROYECTO_LP2/frmListaEquipoxMarca.jsp?idMarca=1 HTTP/1.1" 200 7719
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:06 -0500] "GET /PROYECTO_LP2/images/Lenovo%20B700.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:06 -0500] "GET /PROYECTO_LP2/images/Lenovo%20B475.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:06 -0500] "GET /PROYECTO_LP2/images/Lenovo%20B600.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:06 -0500] "GET /PROYECTO_LP2/images/Lenovo%20B900.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:08 -0500] "GET /PROYECTO_LP2/frmListaEquipoxMarca.jsp?idMarca=2 HTTP/1.1" 200 7753
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:08 -0500] "GET /PROYECTO_LP2/images/HP%20Compaq%2012345.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:08 -0500] "GET /PROYECTO_LP2/images/HP%20Pavilion%20DM3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:13 -0500] "GET /PROYECTO_LP2/frmListaEquipoxMarca.jsp?idMarca=3 HTTP/1.1" 200 7798
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:16 -0500] "GET /PROYECTO_LP2/frmListaEquipoxMarca.jsp?idMarca=4 HTTP/1.1" 200 4388
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:25:19 -0500] "GET /PROYECTO_LP2/frmListaEquipoxMarca.jsp?idMarca=1 HTTP/1.1" 200 7719
